dosen,scholar_id,title,authors,journal,year,citations,link
Aditya Prapanca,WdhKN0sAAAAJ,Pengaruh Metode Pembelajaran STAD terhadap Hasil Belajar Pemrograman Dasar ditinjau dari Motivasi Belajar Siswa Kelas X SMKN 1 Driyorejo,"D Heristiyadi, A Prapanca","IT-Edu: Jurnal Information Technology and Education 6 (3), 170-176, 2021",2021,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&citation_for_view=WdhKN0sAAAAJ:AvfA0Oy_GE0C
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan Media Pembelajaran Interaktif Berbasis Android Pada Mata Pelajaran 3D Di SMKN 2 Surabaya,"S Alfarizi, A Prapanca","IT-Edu: Jurnal Information Technology and Education 6 (1), 693-701, 2021",2021,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&citation_for_view=WdhKN0sAAAAJ:0KyAp5RtaNEC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Media Pembelajaran Berbasis Game Edukasi Bergenre Side-Scroliing Platformer,FR Dewi,"IT-Edu: Jurnal Information Technology and Education 2 (01), 2017",2017,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:Tyk-4Ss8FVUC
Yeni Anistyasari,IJIEntMAAAAJ,PEMBUATAN SIROLINE (SISTEM INFORMASI RAPOR ONLINE) BERBASIS WEB MENGGUNAKAN FRAMEWORK LARAVEL,"RM Noer, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 3 (02), 2018",2018,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:4JMBOYKVnBMC
Yeni Anistyasari,IJIEntMAAAAJ,STUDI LITERATUR PENGARUH GAYA BELAJAR TERHADAP E-LEARNING ADAPTIVE BERBASIS WEB,"DI Brahmantio, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 362-370, 2020",2020,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:NMxIlDl6LWMC
Yeni Anistyasari,IJIEntMAAAAJ,ANALISIS TINGKAT PENERIMAAN MAHASISWA TERHADAP PEMBELAJARAN DARING DI MASA PANDEMI COVID-19 (STUDI KASUS MAHASISWA JURUSAN TEKNIK INFORMATIKA UNIVERSITAS NEGERI SURABAYA),"AD Krisnanto, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 398-405, 2020",2020,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:GnPB-g6toBAC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Game “Script Labyrinth” Untuk Meningkatkan Computational Thinking Siswa Dalam Pelajaran Pemrograman Web Dan Perangkat Bergerak Di Smkn 2 Surabaya,"J Silvana, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 6 (1), 667-676, 2021",2021,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:ldfaerwXgEUC
Yeni Anistyasari,IJIEntMAAAAJ,Implementasi Augmented Reality Marker Based Tracking pada Aplikasi Interaktif Pengenalan Alat Musik Tradisional Bonang Jawa Berbasis Android,"AF Masrura, Y Anistyasari","Journal of Informatics and Computer Science (JINACS) 3 (03), 287-299, 2022",2022,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:zA6iFVUQeVQC
Bambang Sujatmiko,qtFw9UMAAAAJ,Pengembangan Media Berbasis Video Animasi untuk Meningkatkan Kemampuan Kognitif dan Psikomotorik Siswa pada Mata Pelajaran Pengambilan Gambar Bergerak di SMK Negeri 3 Surabaya,"AL Putro, B Sujatmiko","IT-Edu: Jurnal Information Technology and Education 3 (2), 2018",2018,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qtFw9UMAAAAJ&pagesize=100&citation_for_view=qtFw9UMAAAAJ:4TOpqqG69KYC
Bambang Sujatmiko,qtFw9UMAAAAJ,Technical performance analyses of volleyball players using volleyball information system,"M Faruk, B Sujatmiko","Malaysian Journal of Movement, Health & Exercise 9 (2), 101-112, 2020",2020,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qtFw9UMAAAAJ&pagesize=100&citation_for_view=qtFw9UMAAAAJ:blknAaTinKkC
Bambang Sujatmiko,qtFw9UMAAAAJ,Studi Literatur Penggunaan Media Pembelajaran Mobile Learning Berbasis Android Pada Mata Pelajaran Sistem Operasi,"F Haq, B Sujatmiko","IT-Edu: Jurnal Information Technology and Education 6 (2), 78-84, 2021",2021,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qtFw9UMAAAAJ&pagesize=100&citation_for_view=qtFw9UMAAAAJ:35N4QoGY0k4C
Bambang Sujatmiko,qtFw9UMAAAAJ,Pengaruh media pembelajaran video interaktif menggunakan metode R&D pada mata pelajaran Dua Dimensi kompetensi keahlian animasi di SMK Negeri 2 Surabaya,"MDL Purnomo, B Sujatmiko","IT-Edu: Jurnal Information Technology and Education 7 (3), 67-73, 2022",2022,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qtFw9UMAAAAJ&pagesize=100&citation_for_view=qtFw9UMAAAAJ:SeFeTyx0c_EC
Bambang Sujatmiko,qtFw9UMAAAAJ,Pengembangan E-Modul Interaktif Berbasis Website Dengan Model Project Based Learning Untuk Meningkatkan Minat Belajar Siswa Pada Mata Pelajaran PKWU di SMKN 10 Surabaya,"MC Purba, B Sujatmiko","IT-Edu: Jurnal Information Technology and Education 8 (1), 147-156, 2023",2023,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qtFw9UMAAAAJ&pagesize=100&citation_for_view=qtFw9UMAAAAJ:f2IySw72cVMC
Pradini Puspitaningayu,A9L19RMAAAAJ,An independent learning system for Flutter cross-platform mobile programming with code modification problems,"SA Kinari, N Funabiki, ST Aung, KH Wai, M Mentari, P Puspitaningayu","Information 15 (10), 614, 2024",2024,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A9L19RMAAAAJ&pagesize=100&citation_for_view=A9L19RMAAAAJ:hC7cP41nSMkC
Muhammad Hakiki,2LbFMrAAAAAJ,Evaluasi Pelaksanaan Program Praktek Kerja Industri Siswa Kelas XI di SMK Negeri 3 Payakumbuh Tahun Ajaran 2017/2018,"M Hakiki, YI Putra, A Ridoh","Jurnal Inovasi Pendidikan dan Teknologi Informasi (JIPTI) 1 (1), 16-24, 2020",2020,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:UxriW0iASnsC
Muhammad Hakiki,2LbFMrAAAAAJ,Pelatihan Learning Management System (LMS) untuk Menyiapkan Guru-guru MGMP Teknik Ketenagalistrikan Sumbar dalam Mengelola Pembelajaran Daring,"F Eliza, A Asnil, VI Delianti, DE Myori, R Fadli, M Hakiki","Suluah Bendang: Jurnal Ilmiah Pengabdian Kepada Masyarakat 21 (3), 393-401, 2021",2021,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:4DMP91E08xMC
Ibnu Febry Kurniawan,BIrtbD8AAAAJ,Multiple Sensing Application on Wireless Sensor Network Simulation using NS3,"IF Kurniawan, R Bisma","Mathematics, Informatics, Science and Education International Conference …, 2018",2018,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BIrtbD8AAAAJ&pagesize=100&citation_for_view=BIrtbD8AAAAJ:zYLM7Y9cAGgC
Ibnu Febry Kurniawan,BIrtbD8AAAAJ,Implementasi Multichain sebagai Alternatif Solusi Keamanan dan Privasi Data pada Komunikasi Perangkat Pintar Rumah,"DY Rizaldi, IF Kurniawan","Journal of Informatics and Computer Science (JINACS) 1 (02), 115-121, 2019",2019,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BIrtbD8AAAAJ&pagesize=100&citation_for_view=BIrtbD8AAAAJ:ufrVoPGSRksC
Ike Fitriyaningsih,wEGsLv4AAAAJ,Implementation of artificial neural network to predict S&P 500 stock closing price,"I Fitriyaningsih, AR Tampubolon, HL Lumbanraja, GE Pasaribu, ...","Journal of Physics: Conference Series 1175 (1), 012107, 2019",2019,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wEGsLv4AAAAJ&pagesize=100&citation_for_view=wEGsLv4AAAAJ:IjCSPb-OGe4C
Aries Dwi Indriyanti,Jzuk6doAAAAJ,The web-based estimation of motorcycles sales using linear regression method,"AD Indriyanti, DR Prehanto, I Prismana, IKD Nuryana","IOP Conference Series: Materials Science and Engineering 1098 (5), 052115, 2021",2021,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:aqlVkmm33-oC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Penerapan Metode EUCS Untuk Evaluasi Tingkat Kepuasan Pengguna Aplikasi PNM Digi Karyawan,"JA Pratiwi, AD Indriyanti","Journal of Emerging Information Systems and Business Intelligence 3 (3), 15-23, 2022",2022,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:r0BpntZqJG4C
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Analisa Perancangan ANALISA PERANCANGAN SISTEM INFORMASI BERBASIS WEB ANTI BULLYING DI SATUAN PENDIDIKAN,"S Widoyoningrum, EN Laili, AD Indriyanti, I Lazulfa, M Ali, A Andriani, ...","Prosiding Seminar Nasional Sains, Teknologi, Ekonomi, Pendidikan dan …, 2024",2024,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:08ZZubdj9fEC
Lilik Anifah,6MXDzBQAAAAJ,Dentawyanjana character segmentation using K-means clustering CLAHE adaptive thresholding based,"L Anifah, PW Rusimamto, IM Arsana, SI Haryudo, MS Sumbawati","2022 Fifth International Conference on Vocational Education and Electrical …, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:xtRiw3GOFMkC
Lilik Anifah,6MXDzBQAAAAJ,Chronic kidney disease severity identification using template matching feature selection statistics based,L Anifah,"2022 International Conference on Electrical Engineering, Computer and …, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:uWQEDVKXjbEC
Lilik Anifah,6MXDzBQAAAAJ,Rancang Bangun Purwarupa Aplikasi Masjid Pintar Menggunakan Platform Kodular Berbasis Internet di Masjid,"IZL Winarto, N Kholis, L Anifah","Impression: Jurnal Teknologi dan Informasi 2 (2), 61-71, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:Mojj43d5GZwC
Lilik Anifah,6MXDzBQAAAAJ,The Magic of Communication and Collaboration: Enhancing Sensor and Actuator Competence for Successful Learning,"F Baskoro, B Suprianto, L Anifah, YA Indriani","Journal of Law and Sustainable Development 11 (7), e1403-e1403, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:5Ul4iDaHHb8C
Yuliani Puji Astuti,Tz8EfXcAAAAJ,Goal Programming Optimisasi Biaya Produksi UMKM Mie Wahyu Sepanjang Sidoarjo Menggunakan Goal Programming,"DAR Diadi, YP Astuti","MATHunesa: Jurnal Ilmiah Matematika 12 (2), 244-254, 2024",2024,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tz8EfXcAAAAJ&pagesize=100&citation_for_view=Tz8EfXcAAAAJ:NMxIlDl6LWMC
Lilik Anifah,6MXDzBQAAAAJ,A novel pencak silat punch pattern recognition approach using supervised learning,"L Anifah, MS Zuhrie","Ain Shams Engineering Journal 15 (8), 102857, 2024",2024,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:olpn-zPbct0C
Lilik Anifah,6MXDzBQAAAAJ,SURFACE DETECTION FOR QUADRUPED ROBOT USING YOLO-V3 TINY,"RMAR Firdausi, L Anifah, AA Mon","Journal of Intelligent System and Telecommunication 1 (1), 13-24, 2024",2024,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:5awf1xo2G04C
Lilik Anifah,6MXDzBQAAAAJ,Analisis Linieritas Kesesuaian Kompetensi Lulusan SMK dengan Dunia Kerja,"RS Utama, W Warju, L Anifah, IGPA Buditjahjanto","JIIP-Jurnal Ilmiah Ilmu Pendidikan 8 (6), 5628-5634, 2025",2025,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:evX43VCCuoAC
Rindu Puspita Wibawa,Hl6bqU8AAAAJ,"The Effect of Expectancy, Satisfaction of Product Attributes and System Attributes in Repurchasing Online","RP Wibawa, AP Subriadi","IPTEK Journal of Proceedings Series, 71-74, 2019",2019,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Hl6bqU8AAAAJ&pagesize=100&citation_for_view=Hl6bqU8AAAAJ:u5HHmVD_uO8C
Rindu Puspita Wibawa,Hl6bqU8AAAAJ,E-readiness Measurement in the Virtual Application Learning,"RP Wibawa, SC Wibawa, MDE Susanti, E Sulistiyo","IOP Conference Series: Materials Science and Engineering 1125 (1), 012059, 2021",2021,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Hl6bqU8AAAAJ&pagesize=100&citation_for_view=Hl6bqU8AAAAJ:UeHWp8X0CEIC
Rindu Puspita Wibawa,Hl6bqU8AAAAJ,Sosialisasi Dan Pelatihan Tentang Privacy Dan Keamanan Internet Pada Peserta Didik Smp Negeri 1 Waru,"MDE Susanti, GS Palupi, P Nerisafitra, RP Wibawa","Prosiding Seminar Nasional Pengabdian Kepada Masyarakat 2 (1), 489-498, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Hl6bqU8AAAAJ&pagesize=100&citation_for_view=Hl6bqU8AAAAJ:W7OEmFMy1HYC
Rindu Puspita Wibawa,Hl6bqU8AAAAJ,Machine learning on academic education: Bibliometric studies,"HPA Tjahyaningtijas, N Husin, H Al Habib, A Asmunin, RP Wibawa, ...","E3S Web of Conferences 450, 02010, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Hl6bqU8AAAAJ&pagesize=100&citation_for_view=Hl6bqU8AAAAJ:aqlVkmm33-oC
Arif Widodo,RES4QIQAAAAJ,Desain Dan Implementasi Sistem Pemanggil Perawat Nirkabel Menggunakan ESP8266,"MA Imron, A Widodo","Jurnal Teknik Elektro 9 (3), 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:uWQEDVKXjbEC
Arif Widodo,RES4QIQAAAAJ,Rancang bangun elektromiograf untuk identifikasi gerakan otot bisep,"A Widodo, NA Fahmi, F Baskoro","Jurnal Teknik Elektro 10 (3), 609-618, 2021",2021,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:nb7KW1ujOQ8C
Atik Wintarti,lFCI_vsAAAAJ,Analytical weighting scoring for Physics multiple correct items to improve the accuracy of students’ ability assessment,A Wintarti,"Eurasian Journal of Educational Research 18 (76), 187-202, 2018",2018,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:roLk4NBRz8UC
Atik Wintarti,lFCI_vsAAAAJ,Development of electronic module with augmented reality on pyramid for VIII grade,"E Nuryana, A Wintarti","MATHEdunesa 11 (3), 894-903, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:IWHjjKOFINEC
Yuni Rosita Dewi,i0pkJZoAAAAJ,Application Of Artificial Intelligence (AI) For Hijab Business In Mojokerto Using Sentiment Analysis Method Natural Language Processing (NLP),"FR Ardiyanto, YR Dewi, ZA Fitriyani, O Permatasari","Jurnal Ekonomi 12 (3), 1592-1600, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i0pkJZoAAAAJ&pagesize=100&citation_for_view=i0pkJZoAAAAJ:ufrVoPGSRksC
Yuni Rosita Dewi,i0pkJZoAAAAJ,"Sosialisasi Pendidikan Karakter, Pengelolaan Sampah dan Praktik Membuat Pot Guna Mendukung Program Adiwiyata di SMPN 2 Dlanggu Kabupaten Mojokerto","ZA Fitriyani, JS Mulyono, FR Ardiyanto, YR Dewi, DGP Putra, ...","Dedication: Jurnal Pengabdian Masyarakat 8 (1), 99-108, 2024",2024,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i0pkJZoAAAAJ&pagesize=100&citation_for_view=i0pkJZoAAAAJ:0EnyYjriUFMC
Atik Wintarti,lFCI_vsAAAAJ,Violent Videos Classification Using Wavelet and Support Vector Machine,"A Wintarti, RDI Puspitasari, EM Imah","2022 International Conference on ICT for Smart Society (ICISS), 01-05, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:-f6ydRqryjwC
Atik Wintarti,lFCI_vsAAAAJ,PENERAPAN PEMBELAJARAN DARING PADA MATA PELAJARAN MATEMATIKA MATERI BARISAN DAN DERET DITINJAU DARI HASIL BELAJAR SISWA,"F Aditya Pratama, A Wintarti","Jurnal Ilmiah Pendidikan Matematika 12 (1), 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:e5wmG9Sq2KIC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,RANCANG BANGUN SISTEM INFORMASI ALUMNI BERBASIS WEB (Studi Kasus: Jurusan Teknik Informatika Universitas Negeri Surabaya),"SE Rahma, AD Indriyanti","Jurnal Manajemen Informatika 6 (1), 2016",2016,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:UeHWp8X0CEIC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Design and Build Termin Information System at PT Delta Sinergi Prima to Optimize Term Management Using the Method Software Development Life cycle,"SW Prasetyani, AD Indriyanti","International Joint Conference on Science and Engineering 2021, 2021",2021,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:yD5IFk8b50cC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Classification based on K-Nearest Neighbor and Logistic Regression method of coffee using Electronic Nose,"DR Prehanto, AD Indriyanti, IKD Nuryana, GS Permadi","IOP Conference Series: Materials Science and Engineering 1098 (3), 032080, 2021",2021,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:qxL8FJ1GzNcC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Perancangan Sistem Pakar untuk Mendiagnosis Kelainan pada Ibu Hamil menggunakan Metode Breadth First Search,"F Al Ayubi, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 3 …, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:mB3voiENLucC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Perancangan sistem informasi building contruction menggunakan metode rapid application development (RAD),"RC Kusuma, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 3 …, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:blknAaTinKkC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Analisis Penerimaan Pengguna terhadap Penerapan Biometric Authentication pada Shopee-Pay menggunakan Metode UTAUT,"N Widyaretno, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 4 …, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:D03iK_w7-QYC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Analisis Penerimaan Pengguna Aplikasi Identitas Kependudukan Digital (Ikd) Berbasis Mobile Menggunakan Metode Tam (Technology Acceptance Model),"MWAA Rachman, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 5 …, 2024",2024,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:xtRiw3GOFMkC
Yandhika Surya Akbar Gumilang,y_OiarcAAAAJ&hl,Stopkontak Pintar Berbasis Internet of things sebagai Solusi Manajemen Energi Listrik dengan Menggunakan Aplikasi Android,"YSA Gumilang, MS Hadi, D Lestari","Jurnal Aplikasi Sains, Informasi, Elektronika dan Komputer 4 (2), 55-66, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y_OiarcAAAAJ&pagesize=100&citation_for_view=y_OiarcAAAAJ:LkGwnXOMwfcC
Yandhika Surya Akbar Gumilang,y_OiarcAAAAJ&hl,Pengenalan dan Pelatihan Robot Lego pada Siswa Sekolah Menegah Pertama Sebagai Implementasi Pembelajaran STEM di Sekolah,"YSA Gumilang, A Rozaq, A Rabi, A Sumarahinsih, K Krisdianto, ...","International Journal of Community Service Learning 7 (2), 185-191, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y_OiarcAAAAJ&pagesize=100&citation_for_view=y_OiarcAAAAJ:2osOgNQ5qMEC
Lusia Rakhmawati,nWPONc8AAAAJ,Rancang Bangun Sistem Informasi Kehadiran Dosen dan Asisten Laboratorium Berbasis Internet of Things menggunakan RFID dan Aplikasi Telegram,"FY Alamsyah, F Baskoro, L Rakhmawati","JURNAL TEKNIK ELEKTRO 11 (1), 99-107, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:ldfaerwXgEUC
Lilik Anifah,6MXDzBQAAAAJ,An Ardiuno-Simulink Based ECG Waveform Generator,"A Widodo, P Puspitaningayu, L Anifah, R Firmansyah","2018 2nd Borneo International Conference on Applied Mathematics and …, 2018",2018,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:R3hNpaxXUhUC
Bambang Suprianto,j8HRV1wAAAAJ,Wireless Sensor Network Based Atmega16 Microcontroller as Temperature and Current Monitoring System on Distribution Network Transformator,"B Suprianto, S Nidzom","IOP Conference Series: Materials Science and Engineering 288 (1), 012032, 2018",2018,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:g5m5HwL7SMYC
Bambang Suprianto,j8HRV1wAAAAJ,Rancang Bangun Sistem Pengendalian Suhu Pada Inkubator Bayi Berbasis PID Dan LabVIEW 2014,"A Kurniawan, B Suprianto","Jurnal Teknik Elektro 7 (3), 2018",2018,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:ZHo1McVdvXMC
