dosen,scholar_id,title,authors,journal,year,citations,link
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Pemanfaatan Solar Cell Dan Thermoelektric Generator (Teg) Sebagai Sumber Energi Listrik Lampu Penerangan Jalan 50 Watt,"LH Putranto, SI Haryudo","Jurnal Teknik Elektro 9 (1), 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:NMxIlDl6LWMC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Rancang Bangun dan Analisis Peralatan Pendeteksi Dini Temperatur Motor Induksi 3 Fasa Dengan Sensor LM35 Berbasis Zelio SR2B121BD,"AD Laksono, SI Haryudo","Jurnal Teknik Elektro 9 (2), 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:J_g5lzvAfSwC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Prototipe Penstabil Tegangan Pada Pembangkit Listrik Tenaga Mikro Hidro,"DC Daksa, AI Agung, SI Haryudo, I Ibrohim","Jurnal Teknik Elektro 9 (3), 669-675, 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:j3f4tGmQtD8C
Subuh Isnur Haryudo,p1pK7E4AAAAJ,"Implementation of trainer kits in project-based learning to improve critical thinking, motivation, and competency of electrical engineering students","SI Haryudo, E Ekohariadi, M Munoto, T Rijanto, F Baskoro","Jurnal Pendidikan: Teori, Penelitian, dan Pengembangan 6 (12), 485922, 2021",2021,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:08ZZubdj9fEC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Analisis Kelayakan Pemutus Tenaga Bay Trafo 2 Berdasarkan Hasil Uji Shutdown Measurement di Gardu Induk 150 KV Kenjeran Surabaya,"DA Saputra, J Joko, AI Agung, SI Haryudo","Jurnal Teknik Elektro 11 (3), 440-446, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:sSrBHYA8nusC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Development of training kit for solar cell off-grid system based on project-based learning to improve learning outcomes,"SI Haryudo, E Ismayati, F Baskoro","2022 Fifth International Conference on Vocational Education and Electrical …, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:fQNAKQ3IYiAC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Dentawyanjana character segmentation using K-means clustering CLAHE adaptive thresholding based,"L Anifah, PW Rusimamto, IM Arsana, SI Haryudo, MS Sumbawati","2022 Fifth International Conference on Vocational Education and Electrical …, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:VOx2b1Wkg3QC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,The Use of Interactive E-Books Digital Literacy to Improve Student Learning Outcomes,"J Susilowibowo, SI Haryudo, H Wahyudi, A Wiyono, E Sulistyo, ...","5th Vocational Education International Conference (VEIC-5 2023), 625-629, 2024",2024,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:ZuybSZzF8UAC
Berlian Maulidya Izzati,_VFGVQQAAAAJ,Customer knowledge management (CKM) untuk meningkatkan kualitas layanan: Studi literatur,BM Izzati,"JSI: Jurnal Sistem Informasi (E-Journal) 12 (1), 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_VFGVQQAAAAJ&pagesize=100&citation_for_view=_VFGVQQAAAAJ:eQOLeE2rZwMC
Berlian Maulidya Izzati,_VFGVQQAAAAJ,Analisis Tingkat Kepuasan Pengguna E-LearningUniversitas Telkom Menggunakan Metode End-User Computing Satisfaction,"KNR Al Habsyi, BM Izzati, M Saputra","Jurnal Teknik Informatika dan Sistem Informasi 8 (2), 623-635, 2021",2021,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_VFGVQQAAAAJ&pagesize=100&citation_for_view=_VFGVQQAAAAJ:Se3iqnhoufwC
Berlian Maulidya Izzati,_VFGVQQAAAAJ,Information systems maturity level assessment using the hismm framework: Case study of state hospital in jakarta,"M Lubis, II Putri, BM Izzati","2022 International Conference on Science and Technology (ICOSTECH), 1-6, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_VFGVQQAAAAJ&pagesize=100&citation_for_view=_VFGVQQAAAAJ:0EnyYjriUFMC
Paramitha Nerisafitra,Em3aIV0AAAAJ,Analisis Sentimen Pengguna Sistem Pay Later Menggunakan Support Vector Machine Metode Pembobotan Lexicon,"FJ Wahidna, P Nerisafitra","Journal of Informatics and Computer Science (JINACS), 334-343, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Em3aIV0AAAAJ&pagesize=100&citation_for_view=Em3aIV0AAAAJ:8k81kl-MbHgC
