scholar_author_id,title,link,citation_id,authors,publication,year,cited_by
lFCI_vsAAAAJ,Developing Android-Based Comic for Learning Quadrilateral to Improve Seventh-graders’ Geometric Thinking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:ULOm3_A8WrAC,lFCI_vsAAAAJ:ULOm3_A8WrAC,"DS Kurniawan, MT Budiarto, A Wintarti","International Joint Conference on Science and Engineering (IJCSE 2020), 225-229, 2020",2020,3
lFCI_vsAAAAJ,Development of Android-based comic learning media on Quadrilateral Materials to improve geometric thinking ability of grade 7,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:YOwf2qJgpHMC,lFCI_vsAAAAJ:YOwf2qJgpHMC,"DS Kurniawan, MT Budiarto, A Wintarti","MISEIC 2020, 2020",2020,
lFCI_vsAAAAJ,Pengembangan Aplikasi Game Berbasis Android Sebagai Media Pembelajaran Pada Materi Aritmatika Sosial,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:Zph67rFs4hoC,lFCI_vsAAAAJ:Zph67rFs4hoC,"A Mahiroh, A Wintarti","Jurnal Ilmiah Pendidikan Matematika Volume 9 (1), 2020",2020,8
lFCI_vsAAAAJ,Integrating the hypothetical learning trajectory with realistic mathematics to in-service teachers’ professional development,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:KlAtU1dfN6UC,lFCI_vsAAAAJ:KlAtU1dfN6UC,"R Ekawati, A Wintarti, I Kurniasari","International Conference on Research and Academic Community Services …, 2020",2020,5
lFCI_vsAAAAJ,The instructional design of blended learning on differential calculus using successive approximation model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:kNdYIx-mwKoC,lFCI_vsAAAAJ:kNdYIx-mwKoC,"A Wintarti, DK Fardah","Journal of Physics: Conference Series 1417 (1), 012064, 2019",2019,12
lFCI_vsAAAAJ,Penerapan metode economic order quantity (EOQ) dengan backorder untuk optimalisasi persediaan bahan baku pakan ternak,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:RHpTSmoSYBkC,lFCI_vsAAAAJ:RHpTSmoSYBkC,"IAD Bintari, A Wintarti","MATHunesa: Jurnal Ilmiah Matematika 7 (3), 155-162, 2019",2019,14
lFCI_vsAAAAJ,Blended learning as a learning strategy in the disruptive era,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:3fE2CSJIrl8C,lFCI_vsAAAAJ:3fE2CSJIrl8C,"A Wintarti, R Ekawati, S Fiangga","Journal of Physics: Conference Series 1387 (1), 012127, 2019",2019,13
lFCI_vsAAAAJ,Foundation of Mathematics Courses Using Virtual Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:MXK_kJrjxJIC,lFCI_vsAAAAJ:MXK_kJrjxJIC,"DK Fardah, A Wintarti","Journal of Physics: Conference Series 1387 (1), 012018, 2019",2019,
lFCI_vsAAAAJ,The Application of RPG Game “Hello Counselor” to Support Students' Self-Study about Simultaneous Linear Equations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:8k81kl-MbHgC,lFCI_vsAAAAJ:8k81kl-MbHgC,"A Wintarti, NR Dewi","2019 International Seminar on Application for Technology of Information and …, 2019",2019,
lFCI_vsAAAAJ,Development Procedure of RPG Game to Support Student’s Self-Study about Simultaneous Linear Equations for Senior High School Students,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:5nxA0vEk-isC,lFCI_vsAAAAJ:5nxA0vEk-isC,"NR Dewi, A Wintarti","MATHEdunesa 8 (2), 436-440, 2019",2019,
