Data set,"Publications at Universitas Negeri Surabaya"
Year range,2020 to 2024
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,"All publication types"
Self-citations,-

Data source,Scopus
Date last updated,1 October 2025
Date exported,11 October 2025

"* In cases where the journal metric is not available for the publication year of a document, the ""closest year"" metrics are used. E.g. If the latest CiteScore percentile for a journal is from 2019, a 2020 document from that journal will display the 2019 CiteScore percentile value."

2535 publications

Dates,Some publication dates might be an approximation. Read more in https://service.elsevier.com/app/answers/detail/a_id/35535/supporthub/scival/


"Title","Authors","Number of Authors","Scopus Author Ids","Year","Full date","Scopus Source title","Volume","Issue","Pages","Article number","ISSN","Source ID","Source type","Language","SNIP (publication year)","SNIP percentile (publication year) *","CiteScore (publication year)","CiteScore percentile (publication year) *","SJR (publication year)","SJR percentile (publication year) *","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Field-Citation Average","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Main patent families","Policy citations","Reference","Abstract","DOI","Publication type","Open Access","EID","PubMed ID","Institutions","Number of Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Scopus Author ID First Author","Scopus Author ID Last Author","Scopus Author ID Corresponding Author","Scopus Author ID Single Author","Country/Region","Number of Countries/Regions","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Quacquarelli Symonds (QS) Subject area code","Quacquarelli Symonds (QS) Subject area field name","Quacquarelli Symonds (QS) Subject code","Quacquarelli Symonds (QS) Subject field name","Times Higher Education (THE) code","Times Higher Education (THE) field name","ANZSRC FoR (2020) parent code","ANZSRC FoR (2020) parent name","ANZSRC FoR (2020) code","ANZSRC FoR (2020) name","Sustainable Development Goals (2025)","Topic Cluster name","Topic Cluster number","Topic Cluster Prominence Percentile","Topic name","Topic number","Topic Prominence Percentile","Publication link to Topic strength"
"K-means method for clustering learning classes","Indriyanti, A.D.| Prehanto, D.R.| Vitadiar, T.Z.","3","57211891237| 57211886935| 57201579560","2020","2020-05-01","Indonesian Journal of Electrical Engineering and Computer Science","22","2","227-233","-","ISSN-25024752","21100799500","Journal","English","0.65","54","2","53","0.241","63","0.21","9","2","0.15","13.48","66","69","0","0","Indriyanti, A.D., Prehanto, D.R., Vitadiar, T.Z. (2020).K-means method for clustering learning classes. Indonesian Journal of Electrical Engineering and Computer Science,22(2) 227-233","https://www.scopus.com/record/display.url?eid=2-s2.0-85105865064&origin=resultslist","10.11591/ijeecs.v22.i2.pp227-233","Article","","2-s2.0-85105865064","-","Universitas Negeri Surabaya","1","60105082| 118072659","Universitas Negeri Surabaya| Faculty of Information Technology","57211891237","57201579560","57211891237","-","Indonesia","1","1705| 1708| 1710| 1711| 2208| 2606","Computer Networks and Communications| Hardware and Architecture| Information Systems| Signal Processing| Electrical and Electronic Engineering| Control and Optimization","2| 4","Engineering & Technology| Natural Sciences","212| 431| 213| 221| 249","Computer Science & Information Systems| Mathematics| Data Science| Engineering - Electrical & Electronic| Engineering - Petroleum","37| 38| 36","Physical Sciences| Computer Science| Engineering","40| 46","Engineering| Information And Computing Sciences","4606| 4009","Distributed computing and systems software| Electronics, sensors and digital hardware","-","Innovative Clustering Techniques for Data Segmentation","875","40.549","Clustering Algorithms for Categorical Data Insights","23557","80.686","Weak"
"K-means method for clustering learning classes","Indriyanti, A.D.| Prehanto, D.R.| Vitadiar, T.Z.","3","57211891237| 57211886935| 57201579560","2021","2021-04-01","Indonesian Journal of Electrical Engineering and Computer Science","22","2","835-841","-","ISSN-25024752","21100799500","Journal","English","0.53","62","2.4","51","0.276","65","0.13","4","2","0.14","14.04","64","72","0","0","Indriyanti, A.D., Prehanto, D.R., Vitadiar, T.Z. (2021).K-means method for clustering learning classes. Indonesian Journal of Electrical Engineering and Computer Science,22(2) 835-841","https://www.scopus.com/record/display.url?eid=2-s2.0-85126818022&origin=resultslist","10.11591/ijeecs.v22.i2.pp835-841","Article","Gold","2-s2.0-85126818022","-","Universitas Negeri Surabaya","1","60105082| 126196856","Universitas Negeri Surabaya| Faculty of Information Technology","57211891237","57201579560","57211891237","-","Indonesia","1","1705| 1708| 1710| 1711| 2208| 2606","Computer Networks and Communications| Hardware and Architecture| Information Systems| Signal Processing| Electrical and Electronic Engineering| Control and Optimization","2| 4","Engineering & Technology| Natural Sciences","213| 249| 431| 221| 212","Data Science| Engineering - Petroleum| Mathematics| Engineering - Electrical & Electronic| Computer Science & Information Systems","37| 36| 38","Physical Sciences| Engineering| Computer Science","46| 40","Information And Computing Sciences| Engineering","4606| 4009","Distributed computing and systems software| Electronics, sensors and digital hardware","-","Integrative Framework for Decision-Making Models","375","84.827","Decision Support Systems in Diverse Applications","27008","55.476","Defensible"
"Precipitated Calcium Carbonate Derived from Green Mussel Shells Extracted from Magnesium Chloride Containing Solution","Irfa'I, M.A.| Prihanto, A.| Muryanto, S.| Jamari, J.| Ismail, R.| Bayuseno, A.P.","6","57201861731| 58739697100| 15064363800| 13404591200| 35183057200| 7801310426","2022","2022-01-01","IOP Conference Series: Earth and Environmental Science","1098","1","-","012021","ISSN-17551307","19900195068","Conference Proceeding","English","0.26","81","0.8","78","-","-","1.39","23","2","0.97","2.06","59","30","0","0","Irfa'I, M.A., Prihanto, A., Muryanto, S. and 3 more (...) (2022).Precipitated Calcium Carbonate Derived from Green Mussel Shells Extracted from Magnesium Chloride Containing Solution. IOP Conference Series: Earth and Environmental Science,1098(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85142707432&origin=resultslist","10.1088/1755-1315/1098/1/012021","Conference Paper","Gold","2-s2.0-85142707432","-","Universitas Negeri Surabaya| Universitas Diponegoro","2","60069385| 60105082| 127316823| 60109709","Universitas Diponegoro| Universitas Negeri Surabaya| Catholic Polytechnic Mangun Wijaya| UNTAG University","57201861731","7801310426","57201861731","-","Indonesia","1","1900| 2300","General Earth and Planetary Sciences| General Environmental Science","2| 4","Engineering & Technology| Natural Sciences","450| 249| 451| 416| 424","Geology| Engineering - Petroleum| Geophysics| Earth & Marine Sciences| Environmental Sciences","37","Physical Sciences","30| 41| 37","Agricultural, Veterinary And Food Sciences| Environmental Sciences| Earth Sciences","-","-","-","Biomineralization and Structural Innovations in Materials","1283","45.193","Biomimetic Approaches to Calcium Carbonate Crystallization","1193","97.541","Very Good"
"Statistical reasoning ability analysis observed from 4MAT learning style system","Yanti, A.W.| Budayasa, I.K.| Sulaiman, R.| Sutini, S.| Hasanah, A.","5","57216338465| 57193709826| 55326808700| 57222361705| 57222361178","2021","2021-03-02","AIP Conference Proceedings","2330","-","-","040025","ISSN-0094243X","26916","Conference Proceeding","English","0.26","80","0.8","81","-","-","0.93","17","2","1.03","1.94","64","28","0","0","Yanti, A.W., Budayasa, I.K., Sulaiman, R. and 2 more (...) (2021).Statistical reasoning ability analysis observed from 4MAT learning style system. AIP Conference Proceedings,2330","https://www.scopus.com/record/display.url?eid=2-s2.0-85102434525&origin=resultslist","10.1063/5.0043454","Conference Paper","Bronze","2-s2.0-85102434525","-","Universitas Negeri Surabaya","1","123846919| 60105082","Mathematics Educations Study Program| Universitas Negeri Surabaya","57216338465","57222361178","57216338465","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","MD","Multidisciplinary","MD","Multidisciplinary","-","Psychometrics and Test Anxiety Measurement Insights","984","61.805","Enhancing Statistical Literacy through Innovative Education","2437","91.614","Defensible"
"Choux pastry made from fresh eggs: a comparative study between chicken and duck eggs","Santoso, D.I.| Soeryanto| Romadhoni, I.F.| Bahar, A.","4","57193699654| 57207461452| 57200119283| 57189388799","2022","2022-04-01","Food Research","6","2","271-276","-","ISSN-25502166","21100904224","Journal","English","0.51","63","1.5","68","0.235","67","1.22","31","2","0.16","12.62","59","71","0","0","Santoso, D.I., Soeryanto, Romadhoni, I.F. and 1 more (...) (2022).Choux pastry made from fresh eggs: a comparative study between chicken and duck eggs. Food Research,6(2) 271-276","https://www.scopus.com/record/display.url?eid=2-s2.0-85130029655&origin=resultslist","10.26656/fr.2017.6(2).271","Article","Gold","2-s2.0-85130029655","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57193699654","57189388799","57193699654","-","Indonesia","1","1106","Food Science","5","Life Sciences & Medicine","502","Agriculture & Forestry","32","Life Sciences","30| 32| 51","Agricultural, Veterinary And Food Sciences| Biomedical And Clinical Sciences| Physical Sciences","3214| 3006| 5199","Pharmacology and pharmaceutical sciences| Food sciences| Other physical sciences","-","Protein Emulsification and Functional Food Applications","582","95.487","Functional Properties of Egg Proteins and Yolk","12443","96.429","Defensible"
"Exploring the Psychometric Properties of Computational Thinking Assessment in Introductory Programming","Anistyasari, Y.| Ekohariadi, E.| Asto Buditjahjanto, I.G.P.| Hidayati, S.C.","4","53263227700| 57224522926| 57205025587| 55533725700","2021","2021-06-22","Proceedings of the 2021 International e-Engineering Education Services Conference, e-Engineering 2021","-","-","88-93","9470593","-","21101058346","Conference Proceeding","English","-","-","-","-","-","-","2.4","43","2","0.26","3.87","64","63","0","0","Anistyasari, Y., Ekohariadi, E., Asto Buditjahjanto, I.G.P. and 1 more (...) (2021).Exploring the Psychometric Properties of Computational Thinking Assessment in Introductory Programming. Proceedings of the 2021 International e-Engineering Education Services Conference, e-Engineering 2021,88-93","https://www.scopus.com/record/display.url?eid=2-s2.0-85114405085&origin=resultslist","10.1109/e-Engineering47629.2021.9470593","Conference Paper","","2-s2.0-85114405085","-","Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya","2","60105082| 60070707","Universitas Negeri Surabaya| Institut Teknologi Sepuluh Nopember","53263227700","55533725700","-","-","Indonesia","1","2200| 3304","General Engineering| Education","3| 2","Social Sciences & Management| Engineering & Technology","318","Education & Training","41| 36","Education Studies| Engineering","40| 39","Engineering| Education","4008| 4010| 3903","Electrical engineering| Engineering practice and education| Education systems","SDG 4","Integration of Robotics and Computational Thinking in Education","877","85.415","Integrating Computational Thinking in Education","740","99.631","Very Good"
"WOMEN IN BUSINESS: THE IMPACT OF DIGITAL AND FINANCIAL LITERACY ON FEMALE-OWNED SMALL AND MEDIUM-SIZED ENTERPRISES","Asandimitra, N.| Kautsar, A.| Wijayati, D.T.| Kusumawati, N.D.| Nihaya, I.U.","5","57190757045| 57202283774| 57202647254| 57223969158| 58241836700","2024","2024-01-01","Investment Management and Financial Innovations","21","3","330-343","-","ISSN-18104967","19700182325","Journal","English","0.49","64","2.8","18","0.227","51","2.74","79","2","0.55","3.63","32","42","0","0","Asandimitra, N., Kautsar, A., Wijayati, D.T. and 2 more (...) (2024).WOMEN IN BUSINESS: THE IMPACT OF DIGITAL AND FINANCIAL LITERACY ON FEMALE-OWNED SMALL AND MEDIUM-SIZED ENTERPRISES. Investment Management and Financial Innovations,21(3) 330-343","https://www.scopus.com/record/display.url?eid=2-s2.0-85203328889&origin=resultslist","10.21511/imfi.21(3).2024.27","Article","Gold","2-s2.0-85203328889","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57190757045","58241836700","57190757045","-","Indonesia","1","1403| 2001| 2002| 2003","Business and International Management| Economics, Econometrics and Finance (miscellaneous)| Economics and Econometrics| Finance","3","Social Sciences & Management","301| 308| 317","Accounting & Finance| Business & Management Studies| Economics & Econometrics","35","Business and Economics","35","Commerce, Management, Tourism And Services","3502","Banking, finance and investment","SDG 8","Income Inequality and Financial Literacy Dynamics","724","77.829","Financial Literacy and Its Impact on Wellbeing","837","99.693","Definitive"
"Online problem-based learning and 3D digital books to improve pre-service teachers’ scientific literacy","Sunarti, T.| Suprapto, N.| Prahani, B.K.| Satriawan, M.| Rizki, I.A.","5","57201671106| 57163917500| 57207944019| 35183989100| 57671590500","2024","2024-10-01","International Journal of Evaluation and Research in Education","13","5","3139-3150","-","ISSN-22528822","21100934092","Journal","English","0.86","38","2.8","40","0.324","58","4.7","105","2","0.73","2.74","32","36","0","0","Sunarti, T., Suprapto, N., Prahani, B.K. and 2 more (...) (2024).Online problem-based learning and 3D digital books to improve pre-service teachers’ scientific literacy. International Journal of Evaluation and Research in Education,13(5) 3139-3150","https://www.scopus.com/record/display.url?eid=2-s2.0-85200249711&origin=resultslist","10.11591/ijere.v13i5.29835","Article","Gold","2-s2.0-85200249711","-","Victoria University of Wellington| Universitas Negeri Surabaya","2","60105082| 60002316","Universitas Negeri Surabaya| Victoria University of Wellington","57201671106","57671590500","57201671106","-","Indonesia| New Zealand","2","3304","Education","3","Social Sciences & Management","318","Education & Training","41","Education Studies","51| 39","Physical Sciences| Education","3903| 3902| 5199","Education systems| Education policy, sociology and philosophy| Other physical sciences","-","Integrating Science Education for Student Success","310","75.801","Enhancing Scientific Literacy Among High School Students","34583","71.732","Definitive"
"DYNAMICAL BEHAVIOR IN THE COMPETITIVE MODEL INCORPORATING THE FEAR EFFECT OF PREY DUE TO ALLELOPATHY WITH SHARED BIOTIC RESOURCES","Dewi, M.K.| Savitri, D.| Abadi","3","59543186000| 57192686927| 7409825061","2024","2024-10-14","Barekeng","18","4","2663-2674","-","ISSN-19787227","21101272725","Journal","English","0.4","71","0.5","86","0.183","87","0.32","3","2","0.94","2.13","32","30","0","0","Dewi, M.K., Savitri, D., Abadi (2024).DYNAMICAL BEHAVIOR IN THE COMPETITIVE MODEL INCORPORATING THE FEAR EFFECT OF PREY DUE TO ALLELOPATHY WITH SHARED BIOTIC RESOURCES. Barekeng,18(4) 2663-2674","https://www.scopus.com/record/display.url?eid=2-s2.0-85216962686&origin=resultslist","10.30598/barekengvol18iss4pp2663-2674","Article","Gold","2-s2.0-85216962686","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","59543186000","7409825061","57192686927","-","Indonesia","1","1804| 2601| 2604| 2612","Statistics, Probability and Uncertainty| Mathematics (miscellaneous)| Applied Mathematics| Numerical Analysis","4| 2","Natural Sciences| Engineering & Technology","431| 344| 213","Mathematics| Statistics & Operational Research| Data Science","37","Physical Sciences","-","-","-","-","-","Mathematical Models in Disease Dynamics and Control","751","53.041","Dynamics of Predator-Prey Systems and Bifurcation Patterns","862","98.187","Definitive"
"Diadema setosum Chemical Compounds with GC-MS Analysis as a Triple Inhibitor Antiviral Covid-19","Nugroho, E.D.| Sururi, A.M.| Rahayu, D.A.| Ardiansyah, R.| Kurniwawan, N.| Widodo","6","57202467937| 59925035300| 57214115527| 57991872500| 58587081000| 57190247745","2024","2024-09-01","Thalassas","40","3","1401-1407","-","ISSN-02125919","19400157218","Journal","English","0.58","57","1.5","68","0.286","65","1.06","11","2","0.78","2.56","32","34","0","0","Nugroho, E.D., Sururi, A.M., Rahayu, D.A. and 3 more (...) (2024).Diadema setosum Chemical Compounds with GC-MS Analysis as a Triple Inhibitor Antiviral Covid-19. Thalassas,40(3) 1401-1407","https://www.scopus.com/record/display.url?eid=2-s2.0-85195682858&origin=resultslist","10.1007/s41208-024-00732-z","Article","","2-s2.0-85195682858","-","Brawijaya University| Universitas Negeri Surabaya","2","129761516| 60105082| 60069392","Institut Teknologi & amp; Sains Nahdlatul Ulama Pasuruan| Universitas Negeri Surabaya| Brawijaya University","57202467937","57190247745","57202467937","-","Indonesia","1","1104| 1910","Aquatic Science| Oceanography","4| 5","Natural Sciences| Life Sciences & Medicine","502| 450| 416","Agriculture & Forestry| Geology| Earth & Marine Sciences","37| 32","Physical Sciences| Life Sciences","30","Agricultural, Veterinary And Food Sciences","3005","Fisheries sciences","SDG 3","COVID-19, Its Impact, and Vaccination","1","99.935","Targeting SARS Coronavirus Proteases for Antiviral Development","2341","99.603","Definitive"
"Bibliometric analysis of implementation Indonesian local wisdom in physics learning during 1986-2023","Utami, P.L.| Suprapto, N.| Hidaayatullaah, H.N.| Prahani, B.K.| Hariyono, E.| Wibowo, F.C.| Sanjaya, L.A.","7","58073737900| 57163917500| 57217176216| 57207944019| 56458994400| 57191545325| 57212061129","2024","2024-05-24","AIP Conference Proceedings","3116","1","-","060050","ISSN-0094243X","26916","Conference Proceeding","English","0.2","86","0.5","90","-","-","9.91","90","2","4.91","0.41","32","4","0","0","Utami, P.L., Suprapto, N., Hidaayatullaah, H.N. and 4 more (...) (2024).Bibliometric analysis of implementation Indonesian local wisdom in physics learning during 1986-2023. AIP Conference Proceedings,3116(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85194729914&origin=resultslist","10.1063/5.0210761","Conference Paper","Bronze","2-s2.0-85194729914","-","Universiti Teknologi Malaysia| Universitas Negeri Surabaya| State University of Jakarta","3","60105082| 60105171| 60021005","Universitas Negeri Surabaya| Universitas Negeri Jakarta| Universiti Teknologi Malaysia","58073737900","57212061129","58073737900","-","Indonesia| Malaysia","2","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","MD","Multidisciplinary","MD","Multidisciplinary","-","Critical Thinking Skills in Student Learning Outcomes","1339","49.052","Integrating Local Wisdom in Science Education","25275","76.85","Definitive"
"Physiological adaptations in small-side games combined with speed-endurance training: analyzing heart rate and rate of perceived exertion","Bharlaman, M.B.F.| Kusuma, I.D.M.A.W.| Kusnanik, N.W.| Prianto, D.A.| Pranoto, A.","5","59403789800| 58565941100| 57195430173| 57927674600| 57219912246","2024","2024-10-30","Pedagogy of Physical Culture and Sports","28","5","407-414","-","ISSN-26649837","21101040604","Journal","English","0.65","52","2.8","39","0.334","56","0.53","7","2","0.89","2.24","32","32","0","0","Bharlaman, M.B.F., Kusuma, I.D.M.A.W., Kusnanik, N.W. and 2 more (...) (2024).Physiological adaptations in small-side games combined with speed-endurance training: analyzing heart rate and rate of perceived exertion. Pedagogy of Physical Culture and Sports,28(5) 407-414","https://www.scopus.com/record/display.url?eid=2-s2.0-85208640891&origin=resultslist","10.15561/26649837.2024.0509","Article","Gold","2-s2.0-85208640891","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","59403789800","57219912246","58565941100","-","Indonesia","1","2732| 3304| 3612","Orthopedics and Sports Medicine| Education| Physical Therapy, Sports Therapy and Rehabilitation","5| 3","Life Sciences & Medicine| Social Sciences & Management","343| 532| 318","Sports-related Subjects| Medicine| Education & Training","34| 41| 32","Medical and Health| Education Studies| Life Sciences","32| 42| 39","Biomedical And Clinical Sciences| Health Sciences| Education","4207| 3901| 3208","Sports science and exercise| Curriculum and pedagogy| Medical physiology","-","Enhancing Athletic Performance through Muscle and Gait Analysis","57","92.413","Physical Performance Metrics in Team Sports","476","99.289","Definitive"
